epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.951,1.08005,1.67136,1.24579,0.99008,1,0.995,0.73114,1.02587,2.01688,1.18413,0.000657143,0.000657143,0.000657143
2,314.452,1.00163,1.17926,1.15879,0.9352,0.96316,0.99125,0.43944,1.82179,2.05493,1.91517,0.00130743,0.00130743,0.00130743
3,421.81,1.02504,1.11682,1.16045,0.99269,1,0.995,0.62857,1.30909,1.42325,1.48674,0.00194121,0.00194121,0.00194121
4,523.13,1.05699,1.03421,1.17162,1,0.97113,0.995,0.65616,1.20224,1.39713,1.47204,0.00192575,0.00192575,0.00192575
5,628.656,0.99344,0.91081,1.14146,0.99662,1,0.995,0.78328,0.93645,0.87844,1.14729,0.001901,0.001901,0.001901
6,737.376,1.01234,0.89456,1.1507,0.99432,1,0.995,0.76129,0.96639,0.94681,1.15205,0.00187625,0.00187625,0.00187625
7,839.379,0.93247,0.82297,1.09855,1,0.98237,0.995,0.68148,1.17237,0.93376,1.35588,0.0018515,0.0018515,0.0018515
8,939.936,0.93056,0.75867,1.11663,0.9284,1,0.99125,0.72549,1.01461,0.93087,1.29946,0.00182675,0.00182675,0.00182675
9,1041.49,0.88225,0.74113,1.05928,0.98754,1,0.995,0.66934,1.18959,0.94779,1.43216,0.001802,0.001802,0.001802
10,1172.23,0.92787,0.70696,1.09369,0.99516,1,0.995,0.69045,1.04636,0.8,1.27269,0.00177725,0.00177725,0.00177725
11,1318.15,0.89086,0.6499,1.09715,0.99503,1,0.995,0.78033,0.92946,0.78391,1.23128,0.0017525,0.0017525,0.0017525
12,1439.08,0.83617,0.58928,1.03996,0.99487,1,0.995,0.68354,1.19752,0.66683,1.36312,0.00172775,0.00172775,0.00172775
13,1554.03,0.82931,0.61187,1.03785,0.96803,1,0.995,0.79536,0.85487,0.77028,1.18571,0.001703,0.001703,0.001703
14,1668.03,0.88284,0.59706,1.08811,0.87473,1,0.97861,0.72972,1.08877,0.79059,1.29573,0.00167825,0.00167825,0.00167825
15,1789.17,0.89901,0.59957,1.08244,0.9936,1,0.995,0.73202,1.00399,0.68325,1.23117,0.0016535,0.0016535,0.0016535
16,1895.4,0.86317,0.56006,1.04778,0.99555,1,0.995,0.70109,1.17102,0.69385,1.32416,0.00162875,0.00162875,0.00162875
17,1995.5,0.89206,0.58387,1.07644,0.99162,1,0.995,0.69099,1.08592,0.6327,1.42433,0.001604,0.001604,0.001604
18,2116.08,0.83296,0.59502,1.06221,0.99255,1,0.995,0.70549,1.00314,0.66486,1.34981,0.00157925,0.00157925,0.00157925
19,2222.54,0.85153,0.52389,1.05144,0.99525,1,0.995,0.74648,1.10666,0.67817,1.33414,0.0015545,0.0015545,0.0015545
20,2329.79,0.84661,0.53848,1.04746,0.99657,1,0.995,0.6336,1.49836,0.65587,1.6848,0.00152975,0.00152975,0.00152975
21,2459.3,0.87369,0.56692,1.06966,0.99426,1,0.995,0.76248,0.97517,0.54454,1.2027,0.001505,0.001505,0.001505
22,2567.99,0.84625,0.53888,1.05528,0.99325,1,0.995,0.77757,0.88768,0.51046,1.12029,0.00148025,0.00148025,0.00148025
23,2672.61,0.80106,0.5157,1.04021,0.93328,1,0.97875,0.70608,1.04644,0.5711,1.2636,0.0014555,0.0014555,0.0014555
24,2786.75,0.81222,0.51358,1.04627,0.99565,1,0.995,0.68183,1.16173,0.5413,1.39111,0.00143075,0.00143075,0.00143075
25,2912.02,0.79069,0.49351,1.02258,0.97551,1,0.995,0.82276,0.72688,0.46394,1.05056,0.001406,0.001406,0.001406
26,3032.19,0.79109,0.49896,1.03071,0.92471,1,0.99125,0.84416,0.72882,0.60273,1.04849,0.00138125,0.00138125,0.00138125
27,3146.67,0.7578,0.46705,1.01883,0.98575,1,0.995,0.70833,1.09001,0.55382,1.23822,0.0013565,0.0013565,0.0013565
28,3297.19,0.8282,0.4898,1.04864,0.99093,1,0.995,0.81776,0.76515,0.50294,1.06501,0.00133175,0.00133175,0.00133175
29,3437.77,0.77749,0.47209,1.0366,0.98881,1,0.995,0.81717,0.86225,0.53308,1.12922,0.001307,0.001307,0.001307
30,3568.62,0.7902,0.49214,1.03448,0.9894,1,0.995,0.75669,0.95103,0.53687,1.17438,0.00128225,0.00128225,0.00128225
31,3741.94,0.78773,0.43119,1.0253,0.99625,1,0.995,0.68696,1.22919,0.66502,1.45146,0.0012575,0.0012575,0.0012575
32,3869.67,0.75254,0.45782,1.01001,0.99614,1,0.995,0.74624,0.81309,0.50147,1.13889,0.00123275,0.00123275,0.00123275
33,3999.76,0.7678,0.45409,1.0165,0.96479,1,0.995,0.77089,0.93377,0.57732,1.20258,0.001208,0.001208,0.001208
34,4104.89,0.75122,0.46537,1.02759,0.99614,1,0.995,0.71411,0.91368,0.50831,1.20711,0.00118325,0.00118325,0.00118325
35,4224.62,0.70434,0.43769,0.98797,0.99639,1,0.995,0.77883,0.9146,0.4879,1.17416,0.0011585,0.0011585,0.0011585
36,4339.9,0.69991,0.44137,0.98691,0.99616,1,0.995,0.80223,0.85205,0.44064,1.1545,0.00113375,0.00113375,0.00113375
37,4441.37,0.70852,0.45086,1.01291,0.99592,1,0.995,0.7935,0.83844,0.4245,1.10493,0.001109,0.001109,0.001109
38,4560.67,0.68339,0.42235,0.97656,0.93503,1,0.995,0.8086,0.75527,0.50405,1.05733,0.00108425,0.00108425,0.00108425
39,4693.97,0.72826,0.43857,1.00722,0.87829,1,0.97971,0.80474,0.79836,0.55691,1.08578,0.0010595,0.0010595,0.0010595
40,4813.25,0.74075,0.43489,1.01864,0.92629,1,0.99125,0.72904,0.78514,0.67641,1.16581,0.00103475,0.00103475,0.00103475
41,4957.47,0.69797,0.44384,0.98983,0.99352,1,0.995,0.70974,1.05655,0.58959,1.30937,0.00101,0.00101,0.00101
42,5079.75,0.7204,0.43423,1.01084,0.99617,1,0.995,0.74974,0.85227,0.51869,1.20799,0.00098525,0.00098525,0.00098525
43,5181.85,0.67819,0.40393,0.98685,0.99656,1,0.995,0.74742,1.02232,0.54066,1.24093,0.0009605,0.0009605,0.0009605
44,5322.13,0.68599,0.40876,0.99924,0.99631,1,0.995,0.81062,0.84612,0.4441,1.12973,0.00093575,0.00093575,0.00093575
45,5448.98,0.6532,0.39145,0.97412,0.99643,1,0.995,0.84341,0.71685,0.47136,1.04208,0.000911,0.000911,0.000911
46,5577.7,0.66995,0.40799,0.99833,0.99628,1,0.995,0.83278,0.67425,0.37911,0.99234,0.00088625,0.00088625,0.00088625
